       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.4000        0.0200       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 2.10  -8.241  -8.376  -8.817 -11.518 -12.098 -11.198 -11.984 -12.426 -12.268 -12.533   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.16  -8.061  -8.196  -8.637 -11.338 -11.918 -11.018 -11.804 -12.246 -12.088 -12.353   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.22  -7.881  -8.016  -8.457 -11.158 -11.738 -10.838 -11.624 -12.066 -11.908 -12.173   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.28  -7.701  -7.836  -8.277 -10.978 -11.558 -10.658 -11.444 -11.886 -11.728 -11.993   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.34  -7.521  -7.656  -8.097 -10.798 -11.378 -10.478 -11.264 -11.706 -11.548 -11.813   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.40  -7.341  -7.476  -7.917 -10.618 -11.198 -10.298 -11.084 -11.526 -11.368 -11.633   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.46  -7.161  -7.296  -7.737 -10.438 -11.018 -10.118 -10.904 -11.346 -11.188 -11.453   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.52  -6.981  -7.116  -7.557 -10.258 -10.838  -9.938 -10.724 -11.166 -11.008 -11.273   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.58  -6.801  -6.936  -7.377 -10.078 -10.658  -9.758 -10.544 -10.986 -10.828 -11.093   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.64  -6.621  -6.756  -7.197  -9.898 -10.478  -9.578 -10.364 -10.806 -10.648 -10.913   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.70  -6.400  -6.535  -6.976  -9.677 -10.257  -9.357 -10.143 -10.585 -10.427 -10.692   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.76  -6.160  -6.295  -6.736  -9.437 -10.017  -9.117  -9.903 -10.345 -10.187 -10.452   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.82  -5.920  -6.055  -6.496  -9.197  -9.777  -8.877  -9.663 -10.105  -9.947 -10.212   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
