       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.2000        0.2000       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 2.10  -8.362  -8.620  -8.745 -10.460 -11.040 -10.140 -10.926 -11.368 -11.211 -11.476   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.16  -8.182  -8.440  -8.565 -10.280 -10.860  -9.960 -10.746 -11.188 -11.031 -11.296   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.22  -8.002  -8.260  -8.385 -10.100 -10.680  -9.780 -10.566 -11.008 -10.851 -11.116   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.28  -7.822  -8.080  -8.205  -9.920 -10.500  -9.600 -10.386 -10.828 -10.671 -10.936   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.34  -7.642  -7.900  -8.025  -9.740 -10.320  -9.420 -10.206 -10.648 -10.491 -10.756   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.40  -7.462  -7.720  -7.845  -9.560 -10.140  -9.240 -10.026 -10.468 -10.311 -10.576   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.46  -7.282  -7.540  -7.665  -9.380  -9.960  -9.060  -9.846 -10.288 -10.131 -10.396   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.52  -7.102  -7.360  -7.485  -9.200  -9.780  -8.880  -9.666 -10.108  -9.951 -10.216   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.58  -6.880  -7.137  -7.262  -8.978  -9.558  -8.658  -9.444  -9.886  -9.729  -9.993   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.64  -6.640  -6.897  -7.022  -8.738  -9.318  -8.418  -9.204  -9.646  -9.489  -9.753   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.70  -6.400  -6.657  -6.782  -8.498  -9.078  -8.178  -8.964  -9.406  -9.249  -9.513   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.76  -6.160  -6.417  -6.542  -8.258  -8.838  -7.938  -8.724  -9.166  -9.009  -9.273   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.82  -5.920  -6.177  -6.302  -8.018  -8.598  -7.698  -8.484  -8.926  -8.769  -9.033   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.88  -5.680  -5.937  -6.062  -7.778  -8.358  -7.458  -8.244  -8.686  -8.529  -8.793   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.94  -5.440  -5.697  -5.822  -7.538  -8.118  -7.218  -8.004  -8.446  -8.289  -8.553   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.00  -5.200  -5.457  -5.582  -7.298  -7.878  -6.978  -7.764  -8.206  -8.049  -8.313   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.06  -4.960  -5.217  -5.342  -7.058  -7.638  -6.738  -7.524  -7.966  -7.809  -8.073   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.12  -4.720  -4.977  -5.102  -6.818  -7.398  -6.498  -7.284  -7.726  -7.569  -7.833   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.18  -4.480  -4.737  -4.862  -6.578  -7.158  -6.258  -7.044  -7.486  -7.329  -7.593   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.24  -4.240  -4.497  -4.622  -6.338  -6.918  -6.018  -6.804  -7.246  -7.089  -7.353   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.30  -4.000  -4.257  -4.382  -6.098  -6.678  -5.778  -6.564  -7.006  -6.849  -7.113   0.000   0.000   0.000   0.000   0.000   0.000   0.010   0.000   0.001   1.000   1.000   1.000   1.000   1.000   1.000   0.990   1.000   0.999
 3.36  -3.760  -4.018  -4.142  -5.858  -6.438  -5.538  -6.324  -6.766  -6.609  -6.874   0.000   0.000   0.000   0.000   0.000   0.000   0.146   0.004   0.027   1.000   1.000   1.000   1.000   1.000   1.000   0.854   0.996   0.973
 3.42  -3.520  -3.778  -3.903  -5.618  -6.199  -5.299  -6.085  -6.527  -6.369  -6.634   0.000   0.000   0.000   0.000   0.000   0.000   0.751   0.097   0.369   1.000   1.000   1.000   1.000   1.000   1.000   0.249   0.903   0.631
 3.48  -3.280  -3.539  -3.664  -5.379  -5.959  -5.059  -5.846  -6.287  -6.130  -6.395   0.000   0.000   0.000   0.000   0.000   0.000   0.987   0.790   0.946   1.000   1.000   1.000   1.000   1.000   1.000   0.013   0.210   0.054
 3.54  -3.040  -3.299  -3.424  -5.139  -5.719  -4.820  -5.606  -6.048  -5.890  -6.155   0.000   0.000   0.005   0.000   0.000   0.000   1.000   0.994   0.998   1.000   1.000   0.995   1.000   1.000   1.000   0.000   0.006   0.002
 3.60  -2.800  -3.060  -3.185  -4.900  -5.480  -4.581  -5.367  -5.808  -5.651  -5.916   0.000   0.000   0.233   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   0.767   1.000   1.000   1.000   0.000   0.000   0.000
 3.66  -2.560  -2.824  -2.949  -4.665  -5.245  -4.345  -5.131  -5.573  -5.415  -5.680   0.011   0.000   0.847   0.005   0.009   0.000   1.000   1.000   1.000   0.989   1.000   0.153   0.995   0.991   1.000   0.000   0.000   0.000
 3.72  -2.320  -2.613  -2.738  -4.454  -5.034  -4.134  -4.920  -5.362  -5.204  -5.469   0.133   0.000   0.973   0.080   0.115   0.000   1.006   1.000   1.001   0.867   1.000   0.027   0.920   0.885   1.000   0.000   0.000   0.000
 3.78  -2.080  -2.476  -2.601  -4.316  -4.896  -3.996  -4.782  -5.224  -5.067  -5.332   0.637   0.000   0.995   0.565   0.600   0.000   1.099   1.003   1.019   0.363   1.000   0.005   0.435   0.400   1.000   0.000   0.000   0.000
 3.84  -1.840  -2.292  -2.417  -4.133  -4.713  -3.813  -4.599  -5.041  -4.883  -5.148   0.969   0.000   1.000   0.967   0.964   0.001   1.739   1.095   1.398   0.031   1.000   0.000   0.033   0.036   0.999   0.000   0.000   0.000
 3.90  -1.600  -2.057  -2.182  -3.898  -4.478  -3.578  -4.364  -4.806  -4.648  -4.913   0.998   0.000   1.000   0.998   0.998   0.076   1.983   1.741   1.946   0.002   1.000   0.000   0.002   0.002   0.939   0.000   0.000   0.000
 3.96  -1.360  -1.821  -1.946  -3.661  -4.242  -3.342  -4.128  -4.570  -4.412  -4.677   1.000   0.016   1.002   1.000   1.000   1.879   1.999   1.980   1.997   0.000   0.984   0.000   0.000   0.000   0.038   0.000   0.000   0.000
 4.02  -1.120  -1.623  -1.748  -3.463  -4.043  -3.144  -3.930  -4.372  -4.214  -4.479   1.000   0.401   1.065   1.001   1.000   2.599   2.000   1.998   2.000   0.000   0.599   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.08  -0.880  -1.436  -1.561  -3.277  -3.857  -2.957  -3.743  -4.185  -4.027  -4.292   1.000   0.941   1.617   1.040   1.001   2.967   2.000   2.003   2.005   0.000   0.059   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.14  -0.640  -1.202  -1.327  -3.043  -3.623  -2.723  -3.509  -3.951  -3.794  -4.058   1.000   0.996   1.964   1.573   1.042   3.547   2.000   2.132   2.166   0.000   0.004   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.20  -0.400  -0.967  -1.091  -2.807  -3.387  -2.487  -3.273  -3.715  -3.558  -3.823   1.000   1.000   1.997   1.964   1.614   5.565   2.000   2.823   2.817   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.26  -0.160  -0.728  -0.853  -2.569  -3.149  -2.249  -3.035  -3.477  -3.319  -3.584   1.000   1.000   2.009   1.998   1.973   6.335   2.000   3.002   2.985   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.32   0.080  -0.490  -0.615  -2.331  -2.911  -2.011  -2.797  -3.239  -3.081  -3.346   1.000   1.003   2.277   2.039   2.001   7.982   2.000   3.305   3.015   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.38   0.320  -0.260  -0.385  -2.100  -2.680  -1.781  -2.567  -3.008  -2.851  -3.116   1.000   1.091   2.905   2.493   2.094   8.000   2.000   3.899   3.409   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.44   0.560  -0.070  -0.195  -1.911  -2.491  -1.591  -2.377  -2.819  -2.662  -2.926   1.000   1.689   3.024   2.933   2.703   8.000   2.001   3.991   3.941   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.50   0.800   0.147   0.022  -1.693  -2.274  -1.374  -2.160  -2.602  -2.444  -2.709   1.000   1.971   3.452   3.021   2.976   8.000   2.031   3.999   4.033   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.56   1.040   0.384   0.259  -1.457  -2.037  -1.137  -1.923  -2.365  -2.207  -2.472   1.000   1.997   3.934   3.472   3.068   8.000   2.534   4.000   4.524   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.62   1.280   0.622   0.497  -1.219  -1.799  -0.899  -1.685  -2.127  -1.969  -2.234   1.000   2.000   3.994   3.961   3.601   8.000   2.964   4.000   4.968   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.68   1.520   0.860   0.736  -0.980  -1.560  -0.660  -1.446  -1.888  -1.731  -1.996   1.000   2.000   3.999   4.287   3.984   8.000   3.069   4.000   5.314   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.74   1.760   1.099   0.974  -0.742  -1.322  -0.422  -1.208  -1.650  -1.492  -1.757   1.000   2.000   4.000   4.877   4.489   8.000   3.658   4.000   5.915   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.80   2.000   1.337   1.212  -0.503  -1.084  -0.184  -0.970  -1.412  -1.254  -1.519   1.000   2.000   4.000   4.988   4.994   8.000   3.993   4.003   6.344   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.86   2.240   1.575   1.450  -0.265  -0.845   0.055  -0.731  -1.173  -1.016  -1.281   1.000   2.000   4.000   4.999   5.520   8.000   4.369   4.118   6.922   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.92   2.480   1.814   1.689  -0.027  -0.607   0.293  -0.493  -0.935  -0.777  -1.042   1.000   2.000   4.000   5.000   5.939   8.000   4.973   4.777   7.327   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.98   2.720   2.053   1.929   0.213  -0.367   0.533  -0.253  -0.695  -0.538  -0.803   1.000   2.000   4.000   5.000   5.993   8.000   5.653   5.097   7.878   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.04   2.960   2.293   2.168   0.453  -0.127   0.772  -0.014  -0.455  -0.298  -0.563   1.000   2.000   4.000   5.000   5.999   8.000   6.094   5.733   8.332   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.10   3.200   2.533   2.408   0.692   0.112   1.012   0.226  -0.216  -0.058  -0.323   1.000   2.000   4.000   5.000   6.000   8.000   6.730   6.165   9.071   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.16   3.440   2.773   2.648   0.932   0.352   1.252   0.466   0.024   0.181  -0.083   1.000   2.000   4.000   5.000   6.000   8.000   7.197   6.934   9.868   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.22   3.680   3.012   2.887   1.172   0.591   1.491   0.705   0.263   0.421   0.156   1.000   2.000   4.006   5.000   6.000   8.000   8.156   7.801  10.970   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
