       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.8000        0.0400       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 3.42  -3.520  -3.542  -4.844  -6.684  -7.264  -6.364  -7.150  -7.592  -7.435  -7.700   0.000   0.000   0.000   0.000   0.000   0.000   0.951   0.407   0.788   1.000   1.000   1.000   1.000   1.000   1.000   0.049   0.593   0.212
 3.48  -3.280  -3.303  -4.604  -6.444  -7.024  -6.124  -6.910  -7.352  -7.195  -7.460   0.000   0.000   0.000   0.000   0.000   0.000   0.999   0.975   0.995   1.000   1.000   1.000   1.000   1.000   1.000   0.001   0.025   0.005
 3.54  -3.040  -3.063  -4.364  -6.204  -6.784  -5.884  -6.670  -7.112  -6.955  -7.220   0.000   0.000   0.045   0.000   0.000   0.000   1.000   0.999   1.000   1.000   1.000   0.955   1.000   1.000   1.000   0.000   0.001   0.000
 3.60  -2.800  -2.823  -4.124  -5.964  -6.545  -5.645  -6.431  -6.873  -6.715  -6.980   0.001   0.000   0.516   0.000   0.001   0.000   1.000   1.000   1.000   0.999   1.000   0.484   1.000   0.999   1.000   0.000   0.000   0.000
 3.66  -2.560  -2.588  -3.889  -5.730  -6.310  -5.410  -6.196  -6.638  -6.480  -6.745   0.013   0.000   0.870   0.006   0.011   0.000   1.000   1.000   1.000   0.987   1.000   0.130   0.994   0.989   1.000   0.000   0.000   0.000
 3.72  -2.320  -2.387  -3.688  -5.528  -6.108  -5.208  -5.994  -6.436  -6.279  -6.544   0.112   0.000   0.967   0.067   0.096   0.000   1.005   1.000   1.001   0.888   1.000   0.033   0.933   0.904   1.000   0.000   0.000   0.000
 3.78  -2.080  -2.292  -3.593  -5.433  -6.014  -5.114  -5.900  -6.342  -6.184  -6.449   0.575   0.000   0.994   0.500   0.536   0.000   1.078   1.002   1.015   0.425   1.000   0.006   0.500   0.464   1.000   0.000   0.000   0.000
 3.84  -1.840  -2.144  -3.445  -5.286  -5.866  -4.966  -5.752  -6.194  -6.036  -6.301   0.960   0.000   0.999   0.957   0.954   0.000   1.682   1.073   1.334   0.040   1.000   0.001   0.043   0.046   1.000   0.000   0.000   0.000
 3.90  -1.600  -1.912  -3.213  -5.054  -5.634  -4.734  -5.520  -5.962  -5.805  -6.069   0.997   0.000   1.000   0.998   0.997   0.053   1.978   1.685   1.930   0.003   1.000   0.000   0.002   0.003   0.955   0.000   0.000   0.000
 3.96  -1.360  -1.673  -2.974  -4.815  -5.395  -4.495  -5.281  -5.723  -5.565  -5.830   1.000   0.013   1.001   1.000   1.000   1.797   1.998   1.975   1.996   0.000   0.987   0.000   0.000   0.000   0.062   0.000   0.000   0.000
 4.02  -1.120  -1.437  -2.738  -4.578  -5.159  -4.259  -5.045  -5.487  -5.329  -5.594   1.000   0.370   1.058   1.001   1.000   2.566   2.000   1.998   2.000   0.000   0.630   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.08  -0.880  -1.203  -2.504  -4.345  -4.925  -4.025  -4.811  -5.253  -5.095  -5.360   1.000   0.941   1.616   1.040   1.001   2.967   2.000   2.003   2.005   0.000   0.059   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.14  -0.640  -0.964  -2.265  -4.105  -4.685  -3.786  -4.572  -5.013  -4.856  -5.121   1.000   0.996   1.964   1.575   1.042   3.554   2.000   2.133   2.167   0.000   0.004   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.20  -0.400  -0.724  -2.025  -3.866  -4.446  -3.546  -4.332  -4.774  -4.616  -4.881   1.000   1.000   1.997   1.965   1.618   5.570   2.000   2.826   2.820   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.26  -0.160  -0.484  -1.785  -3.626  -4.206  -3.306  -4.092  -4.534  -4.376  -4.641   1.000   1.000   2.009   1.998   1.973   6.348   2.000   3.002   2.985   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.32   0.080  -0.244  -1.546  -3.386  -3.966  -3.066  -3.852  -4.294  -4.137  -4.402   1.000   1.003   2.282   2.040   2.001   7.983   2.000   3.310   3.016   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.38   0.320  -0.006  -1.307  -3.147  -3.727  -2.827  -3.613  -4.055  -3.898  -4.163   1.000   1.095   2.909   2.503   2.098   8.000   2.000   3.903   3.419   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.44   0.560   0.228  -1.073  -2.914  -3.494  -2.594  -3.380  -3.822  -3.664  -3.929   1.000   1.714   3.028   2.941   2.728   8.000   2.001   3.992   3.947   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
