       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.8000        0.2000       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 2.10  -8.165  -8.172 -58.677 -10.614 -11.194 -10.295 -11.081 -11.523 -11.365 -11.630   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.16  -7.985  -7.992 -58.497 -10.434 -11.014 -10.115 -10.901 -11.343 -11.185 -11.450   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.22  -7.805  -7.812 -58.317 -10.254 -10.834  -9.935 -10.721 -11.163 -11.005 -11.270   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.28  -7.625  -7.632 -58.137 -10.074 -10.654  -9.755 -10.541 -10.983 -10.825 -11.090   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.34  -7.445  -7.452 -57.957  -9.894 -10.474  -9.575 -10.361 -10.803 -10.645 -10.910   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.40  -7.265  -7.272 -57.777  -9.714 -10.294  -9.395 -10.181 -10.623 -10.465 -10.730   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.46  -7.085  -7.092 -57.597  -9.534 -10.114  -9.215 -10.001 -10.443 -10.285 -10.550   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.52  -6.905  -6.912 -57.417  -9.354  -9.935  -9.035  -9.821 -10.263 -10.105 -10.370   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.58  -6.725  -6.732 -57.237  -9.174  -9.755  -8.855  -9.641 -10.083  -9.925 -10.190   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.64  -6.545  -6.552 -57.057  -8.994  -9.575  -8.675  -9.461  -9.903  -9.745 -10.010   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.70  -6.365  -6.372 -56.877  -8.814  -9.395  -8.495  -9.281  -9.723  -9.565  -9.830   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.76  -6.160  -6.166 -56.672  -8.609  -9.189  -8.289  -9.075  -9.517  -9.359  -9.624   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.82  -5.920  -5.926 -56.431  -8.369  -8.949  -8.049  -8.835  -9.277  -9.119  -9.384   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.88  -5.680  -5.686 -56.191  -8.129  -8.709  -7.809  -8.595  -9.037  -8.879  -9.144   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.94  -5.440  -5.446 -55.952  -7.889  -8.469  -7.569  -8.355  -8.797  -8.639  -8.904   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.00  -5.200  -5.206 -55.712  -7.649  -8.229  -7.329  -8.115  -8.557  -8.399  -8.664   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.06  -4.960  -4.966 -55.471  -7.409  -7.989  -7.089  -7.875  -8.317  -8.159  -8.424   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.12  -4.720  -4.726 -55.231  -7.169  -7.749  -6.849  -7.635  -8.077  -7.919  -8.184   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.18  -4.480  -4.486 -54.992  -6.929  -7.509  -6.609  -7.395  -7.837  -7.679  -7.944   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.24  -4.240  -4.246 -54.752  -6.689  -7.269  -6.369  -7.155  -7.597  -7.439  -7.704   0.000   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   0.999   1.000   1.000
 3.30  -4.000  -4.006 -54.511  -6.449  -7.029  -6.129  -6.915  -7.357  -7.199  -7.464   0.000   0.000   0.000   0.000   0.000   0.000   0.015   0.000   0.002   1.000   1.000   1.000   1.000   1.000   1.000   0.985   1.000   0.998
 3.36  -3.760  -3.766 -54.272  -6.209  -6.789  -5.889  -6.675  -7.117  -6.960  -7.224   0.000   0.000   0.000   0.000   0.000   0.000   0.209   0.007   0.041   1.000   1.000   1.000   1.000   1.000   1.000   0.791   0.993   0.959
 3.42  -3.520  -3.527 -54.032  -5.969  -6.549  -5.650  -6.436  -6.877  -6.720  -6.985   0.000   0.000   0.000   0.000   0.000   0.000   0.844   0.162   0.511   1.000   1.000   1.000   1.000   1.000   1.000   0.156   0.838   0.489
 3.48  -3.280  -3.287 -53.792  -5.729  -6.310  -5.410  -6.196  -6.638  -6.480  -6.745   0.000   0.000   0.000   0.000   0.000   0.000   0.994   0.888   0.974   1.000   1.000   1.000   1.000   1.000   1.000   0.006   0.112   0.026
 3.54  -3.040  -3.047 -53.552  -5.489  -6.070  -5.170  -5.956  -6.398  -6.240  -6.505   0.000   0.000   0.010   0.000   0.000   0.000   1.000   0.997   0.999   1.000   1.000   0.990   1.000   1.000   1.000   0.000   0.003   0.001
 3.60  -2.800  -2.808 -53.313  -5.250  -5.830  -4.931  -5.717  -6.158  -6.001  -6.266   0.000   0.000   0.340   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   0.660   1.000   1.000   1.000   0.000   0.000   0.000
 3.66  -2.560  -2.573 -53.078  -5.016  -5.596  -4.696  -5.482  -5.924  -5.766  -6.031   0.011   0.000   0.851   0.005   0.009   0.000   1.000   1.000   1.000   0.989   1.000   0.149   0.995   0.991   1.000   0.000   0.000   0.000
 3.72  -2.320  -2.372 -52.877  -4.815  -5.395  -4.495  -5.281  -5.723  -5.566  -5.830   0.108   0.000   0.966   0.064   0.093   0.000   1.005   1.000   1.001   0.892   1.000   0.034   0.936   0.907   1.000   0.000   0.000   0.000
 3.78  -2.080  -2.282 -52.787  -4.725  -5.305  -4.405  -5.191  -5.633  -5.475  -5.740   0.568   0.000   0.994   0.494   0.530   0.000   1.076   1.002   1.014   0.432   1.000   0.006   0.506   0.470   1.000   0.000   0.000   0.000
 3.84  -1.840  -2.138 -52.643  -4.581  -5.161  -4.261  -5.047  -5.489  -5.331  -5.596   0.959   0.000   0.999   0.956   0.952   0.000   1.676   1.072   1.328   0.041   1.000   0.001   0.044   0.048   1.000   0.000   0.000   0.000
 3.90  -1.600  -1.907 -52.412  -4.349  -4.929  -4.030  -4.816  -5.258  -5.100  -5.365   0.997   0.000   1.000   0.998   0.997   0.051   1.977   1.679   1.929   0.003   1.000   0.000   0.002   0.003   0.957   0.000   0.000   0.000
 3.96  -1.360  -1.668 -52.173  -4.110  -4.691  -3.791  -4.577  -5.019  -4.861  -5.126   1.000   0.012   1.001   1.000   1.000   1.788   1.998   1.974   1.996   0.000   0.988   0.000   0.000   0.000   0.065   0.000   0.000   0.000
 4.02  -1.120  -1.428 -51.933  -3.871  -4.451  -3.551  -4.337  -4.779  -4.621  -4.886   1.000   0.366   1.057   1.001   1.000   2.562   2.000   1.998   2.000   0.000   0.634   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.08  -0.880  -1.189 -51.694  -3.631  -4.211  -3.312  -4.098  -4.539  -4.382  -4.647   1.000   0.940   1.615   1.040   1.001   2.967   2.000   2.003   2.005   0.000   0.060   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.14  -0.640  -0.949 -51.455  -3.392  -3.972  -3.072  -3.858  -4.300  -4.142  -4.407   1.000   0.996   1.964   1.574   1.042   3.551   2.000   2.133   2.167   0.000   0.004   0.000   0.000   0.000   0.000   0.000   0.000   0.000
