       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.2000        0.0400       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 2.10  -8.314  -8.607  -8.629 -11.146 -11.726 -10.827 -11.613 -12.055 -11.897 -12.162   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.16  -8.134  -8.427  -8.449 -10.966 -11.546 -10.647 -11.433 -11.875 -11.717 -11.982   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.22  -7.954  -8.247  -8.269 -10.786 -11.366 -10.467 -11.253 -11.695 -11.537 -11.802   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.28  -7.774  -8.067  -8.089 -10.606 -11.186 -10.287 -11.073 -11.515 -11.357 -11.622   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.34  -7.594  -7.887  -7.909 -10.426 -11.006 -10.107 -10.893 -11.335 -11.177 -11.442   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.40  -7.414  -7.707  -7.729 -10.246 -10.826  -9.927 -10.713 -11.155 -10.997 -11.262   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.46  -7.234  -7.527  -7.549 -10.066 -10.646  -9.747 -10.533 -10.975 -10.817 -11.082   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.52  -7.054  -7.347  -7.369  -9.886 -10.466  -9.567 -10.353 -10.795 -10.637 -10.902   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.58  -6.874  -7.167  -7.189  -9.706 -10.286  -9.387 -10.173 -10.615 -10.457 -10.722   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.64  -6.640  -6.933  -6.955  -9.472 -10.052  -9.152  -9.938 -10.380 -10.223 -10.488   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.70  -6.400  -6.693  -6.715  -9.232  -9.812  -8.912  -9.698 -10.140  -9.983 -10.248   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.76  -6.160  -6.453  -6.475  -8.992  -9.572  -8.672  -9.458  -9.900  -9.743 -10.008   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.82  -5.920  -6.213  -6.235  -8.752  -9.332  -8.432  -9.218  -9.660  -9.503  -9.768   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.88  -5.680  -5.973  -5.995  -8.512  -9.092  -8.192  -8.978  -9.420  -9.263  -9.528   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.94  -5.440  -5.733  -5.755  -8.272  -8.852  -7.952  -8.738  -9.180  -9.023  -9.288   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.00  -5.200  -5.493  -5.515  -8.032  -8.612  -7.712  -8.498  -8.940  -8.783  -9.048   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.06  -4.960  -5.253  -5.275  -7.792  -8.372  -7.472  -8.258  -8.700  -8.543  -8.808   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.12  -4.720  -5.013  -5.035  -7.552  -8.132  -7.232  -8.018  -8.460  -8.303  -8.568   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.18  -4.480  -4.773  -4.795  -7.312  -7.892  -6.992  -7.778  -8.220  -8.063  -8.328   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.24  -4.240  -4.533  -4.555  -7.072  -7.652  -6.752  -7.538  -7.980  -7.823  -8.088   0.000   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   0.999   1.000   1.000
 3.30  -4.000  -4.293  -4.315  -6.832  -7.412  -6.512  -7.298  -7.740  -7.583  -7.848   0.000   0.000   0.000   0.000   0.000   0.000   0.023   0.000   0.003   1.000   1.000   1.000   1.000   1.000   1.000   0.977   1.000   0.997
 3.36  -3.760  -4.053  -4.075  -6.592  -7.172  -6.272  -7.059  -7.500  -7.343  -7.608   0.000   0.000   0.000   0.000   0.000   0.000   0.302   0.011   0.066   1.000   1.000   1.000   1.000   1.000   1.000   0.698   0.989   0.934
 3.42  -3.520  -3.813  -3.835  -6.352  -6.932  -6.033  -6.819  -7.260  -7.103  -7.368   0.000   0.000   0.000   0.000   0.000   0.000   0.913   0.274   0.671   1.000   1.000   1.000   1.000   1.000   1.000   0.087   0.726   0.329
