       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.0000        0.0000       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 3.24  -4.240 -53.638  -4.240 -54.717 -54.784 -54.842 -54.939 -55.018 -55.085 -55.386   0.000   0.000   0.000   0.000   0.000   0.000   0.773   0.037   0.270   1.000   1.000   1.000   1.000   1.000   1.000   0.227   0.963   0.730
 3.30  -4.000 -53.398  -4.000 -54.477 -54.544 -54.602 -54.699 -54.778 -54.845 -55.146   0.000   0.000   0.000   0.000   0.000   0.000   0.999   0.970   0.996   1.000   1.000   1.000   1.000   1.000   1.000   0.001   0.030   0.004
 3.36  -3.760 -53.158  -3.760 -54.237 -54.304 -54.362 -54.459 -54.538 -54.605 -54.906   0.000   0.000   0.001   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   0.999   1.000   1.000   1.000   0.000   0.000   0.000
 3.42  -3.520 -52.918  -3.520 -53.997 -54.064 -54.122 -54.219 -54.298 -54.365 -54.666   0.000   0.000   0.516   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   0.484   1.000   1.000   1.000   0.000   0.000   0.000
 3.48  -3.280 -52.678  -3.280 -53.757 -53.824 -53.882 -53.979 -54.058 -54.125 -54.426   0.040   0.000   0.998   0.005   0.034   0.000   1.000   1.000   1.000   0.960   1.000   0.002   0.995   0.966   1.000   0.000   0.000   0.000
 3.54  -3.040 -52.438  -3.040 -53.517 -53.584 -53.642 -53.739 -53.818 -53.885 -54.186   0.931   0.000   1.000   0.725   0.918   0.000   1.099   1.000   1.004   0.069   1.000   0.000   0.275   0.082   1.000   0.000   0.000   0.000
 3.60  -2.800 -52.198  -2.800 -53.277 -53.344 -53.402 -53.499 -53.578 -53.645 -53.946   1.000   0.000   1.000   0.999   1.000   0.000   1.976   1.229   1.691   0.000   1.000   0.000   0.001   0.000   1.000   0.000   0.000   0.000
 3.66  -2.560 -51.958  -2.560 -53.037 -53.104 -53.162 -53.259 -53.338 -53.405 -53.706   1.000   0.000   1.000   1.000   1.000   0.000   1.995   1.699   1.943   0.000   1.000   0.000   0.000   0.000   1.000   0.000   0.000   0.000
 3.72  -2.320 -51.718  -2.320 -52.797 -52.864 -52.922 -53.019 -53.098 -53.165 -53.466   1.000   0.000   1.000   1.000   1.000   0.003   1.998   1.889   1.982   0.000   1.000   0.000   0.000   0.000   0.997   0.000   0.000   0.000
 3.78  -2.080 -51.478  -2.080 -52.557 -52.624 -52.682 -52.779 -52.858 -52.925 -53.226   1.000   0.000   1.000   1.000   1.000   0.072   1.999   1.958   1.993   0.000   1.000   0.000   0.000   0.000   0.947   0.000   0.000   0.000
 3.84  -1.840 -51.238  -1.840 -52.317 -52.384 -52.442 -52.539 -52.618 -52.685 -52.986   1.000   0.001   1.000   1.000   1.000   0.992   1.999   1.983   1.997   0.000   0.999   0.000   0.000   0.000   0.435   0.000   0.000   0.000
 3.90  -1.600 -51.002  -1.604 -52.081 -52.148 -52.206 -52.303 -52.382 -52.449 -52.750   1.000   0.009   1.001   1.000   1.000   1.906   2.000   1.992   1.999   0.000   0.991   0.000   0.000   0.000   0.031   0.000   0.000   0.000
 3.96  -1.360 -50.791  -1.393 -51.870 -51.937 -51.995 -52.092 -52.171 -52.238 -52.539   1.000   0.079   1.009   1.000   1.000   2.192   2.000   1.996   1.999   0.000   0.921   0.000   0.000   0.000   0.001   0.000   0.000   0.000
 4.02  -1.120 -50.686  -1.288 -51.766 -51.832 -51.890 -51.987 -52.066 -52.133 -52.434   1.000   0.474   1.086   1.001   1.000   2.668   2.000   1.999   2.000   0.000   0.526   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.08  -0.880 -50.566  -1.168 -51.645 -51.712 -51.770 -51.867 -51.946 -52.013 -52.314   1.000   0.942   1.623   1.041   1.001   2.968   2.000   2.003   2.006   0.000   0.058   0.000   0.000   0.000   0.000   0.000   0.000   0.000
