       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.6000        0.2000       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 2.10  -8.222  -8.264  -9.343 -10.582 -11.162 -10.262 -11.048 -11.490 -11.332 -11.597   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.16  -8.042  -8.084  -9.163 -10.402 -10.982 -10.082 -10.868 -11.310 -11.152 -11.417   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.22  -7.862  -7.904  -8.983 -10.222 -10.802  -9.902 -10.688 -11.130 -10.972 -11.237   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.28  -7.682  -7.724  -8.803 -10.042 -10.622  -9.722 -10.508 -10.950 -10.792 -11.057   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.34  -7.502  -7.544  -8.623  -9.862 -10.442  -9.542 -10.328 -10.770 -10.612 -10.877   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.40  -7.322  -7.364  -8.443  -9.682 -10.262  -9.362 -10.148 -10.590 -10.432 -10.697   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.46  -7.142  -7.184  -8.263  -9.502 -10.082  -9.182  -9.968 -10.410 -10.252 -10.517   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.52  -6.962  -7.004  -8.083  -9.322  -9.902  -9.002  -9.788 -10.230 -10.072 -10.337   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.58  -6.782  -6.824  -7.903  -9.142  -9.722  -8.822  -9.608 -10.050  -9.892 -10.157   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.64  -6.602  -6.644  -7.723  -8.962  -9.542  -8.642  -9.428  -9.870  -9.712  -9.977   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
