       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.6000        0.0400       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 2.10  -8.186  -8.249  -9.073 -11.265 -11.845 -10.946 -11.732 -12.173 -12.016 -12.281   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.16  -8.006  -8.069  -8.893 -11.085 -11.665 -10.766 -11.552 -11.993 -11.836 -12.101   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.22  -7.826  -7.889  -8.713 -10.905 -11.485 -10.586 -11.372 -11.813 -11.656 -11.921   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.28  -7.646  -7.709  -8.533 -10.725 -11.305 -10.406 -11.192 -11.633 -11.476 -11.741   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.34  -7.466  -7.529  -8.353 -10.545 -11.125 -10.226 -11.012 -11.453 -11.296 -11.561   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.40  -7.286  -7.349  -8.173 -10.365 -10.945 -10.046 -10.832 -11.273 -11.116 -11.381   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.46  -7.106  -7.169  -7.993 -10.185 -10.765  -9.866 -10.652 -11.093 -10.936 -11.201   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.52  -6.926  -6.989  -7.813 -10.005 -10.585  -9.686 -10.472 -10.913 -10.756 -11.021   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.58  -6.746  -6.809  -7.633  -9.825 -10.405  -9.506 -10.292 -10.733 -10.576 -10.841   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.64  -6.566  -6.629  -7.453  -9.645 -10.225  -9.326 -10.112 -10.553 -10.396 -10.661   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.70  -6.386  -6.449  -7.273  -9.465 -10.045  -9.146  -9.932 -10.373 -10.216 -10.481   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.76  -6.160  -6.222  -7.046  -9.239  -9.819  -8.919  -9.705 -10.147  -9.989 -10.254   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.82  -5.920  -5.982  -6.806  -8.999  -9.579  -8.679  -9.465  -9.907  -9.749 -10.014   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.88  -5.680  -5.742  -6.566  -8.759  -9.339  -8.439  -9.225  -9.667  -9.509  -9.774   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.94  -5.440  -5.502  -6.326  -8.519  -9.099  -8.199  -8.985  -9.427  -9.269  -9.534   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.00  -5.200  -5.262  -6.086  -8.279  -8.859  -7.959  -8.745  -9.187  -9.029  -9.294   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.06  -4.960  -5.022  -5.846  -8.039  -8.619  -7.719  -8.505  -8.947  -8.789  -9.054   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.12  -4.720  -4.782  -5.606  -7.799  -8.379  -7.479  -8.265  -8.707  -8.549  -8.814   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.18  -4.480  -4.542  -5.366  -7.559  -8.139  -7.239  -8.025  -8.467  -8.309  -8.574   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
