       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.4000        0.2000       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 2.10  -8.286  -8.393  -8.995 -10.535 -11.115 -10.215 -11.001 -11.443 -11.285 -11.550   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.16  -8.106  -8.213  -8.815 -10.355 -10.935 -10.035 -10.821 -11.263 -11.105 -11.370   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.22  -7.926  -8.033  -8.635 -10.175 -10.755  -9.855 -10.641 -11.083 -10.925 -11.190   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.28  -7.746  -7.853  -8.455  -9.995 -10.575  -9.675 -10.461 -10.903 -10.745 -11.010   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.34  -7.566  -7.673  -8.275  -9.815 -10.395  -9.495 -10.281 -10.723 -10.565 -10.830   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.40  -7.386  -7.493  -8.095  -9.635 -10.215  -9.315 -10.101 -10.543 -10.385 -10.650   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.46  -7.206  -7.313  -7.915  -9.455 -10.035  -9.135  -9.921 -10.363 -10.205 -10.470   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.52  -7.026  -7.133  -7.735  -9.275  -9.855  -8.955  -9.741 -10.183 -10.025 -10.290   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.58  -6.846  -6.953  -7.555  -9.095  -9.675  -8.775  -9.561 -10.003  -9.845 -10.110   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.64  -6.640  -6.747  -7.349  -8.889  -9.469  -8.569  -9.355  -9.797  -9.639  -9.904   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.70  -6.400  -6.507  -7.109  -8.649  -9.229  -8.329  -9.115  -9.557  -9.399  -9.664   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.76  -6.160  -6.267  -6.869  -8.409  -8.989  -8.089  -8.875  -9.317  -9.159  -9.424   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.82  -5.920  -6.027  -6.629  -8.168  -8.749  -7.849  -8.635  -9.077  -8.919  -9.184   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.88  -5.680  -5.787  -6.389  -7.928  -8.509  -7.609  -8.395  -8.837  -8.679  -8.944   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.94  -5.440  -5.547  -6.149  -7.689  -8.269  -7.369  -8.155  -8.597  -8.439  -8.704   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.00  -5.200  -5.307  -5.909  -7.449  -8.029  -7.129  -7.915  -8.357  -8.199  -8.464   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.06  -4.960  -5.067  -5.669  -7.208  -7.789  -6.889  -7.675  -8.117  -7.959  -8.224   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
