       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.0000        1.0000       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 3.24  -4.240 -53.103 -53.705  -4.483 -54.249  -4.608 -54.404 -54.483 -54.550 -54.851   0.000   0.000   0.000   0.000   0.000   0.000   0.491   0.011   0.095   1.000   1.000   1.000   1.000   1.000   1.000   0.509   0.989   0.905
 3.30  -4.000 -52.863 -53.465  -4.243 -54.009  -4.368 -54.164 -54.243 -54.310 -54.611   0.000   0.000   0.000   0.000   0.000   0.000   0.965   0.329   0.790   1.000   1.000   1.000   1.000   1.000   1.000   0.035   0.671   0.210
 3.36  -3.760 -52.623 -53.225  -4.003 -53.769  -4.128 -53.924 -54.003 -54.070 -54.371   0.000   0.000   0.000   0.000   0.000   0.000   0.992   0.750   0.950   1.000   1.000   1.000   1.000   1.000   1.000   0.008   0.250   0.050
 3.42  -3.520 -52.383 -52.985  -3.763 -53.529  -3.888 -53.684 -53.763 -53.830 -54.131   0.000   0.000   0.000   0.000   0.000   0.000   0.997   0.934   0.987   1.000   1.000   1.000   1.000   1.000   1.000   0.003   0.066   0.013
 3.48  -3.280 -52.143 -52.745  -3.523 -53.289  -3.648 -53.444 -53.523 -53.590 -53.891   0.000   0.000   0.000   0.000   0.000   0.000   0.999   0.982   0.996   1.000   1.000   1.000   1.000   1.000   1.000   0.001   0.018   0.004
 3.54  -3.040 -51.904 -52.506  -3.284 -53.050  -3.409 -53.205 -53.284 -53.351 -53.652   0.000   0.000   0.005   0.000   0.000   0.000   1.000   0.994   0.999   1.000   1.000   0.995   1.000   1.000   1.000   0.000   0.006   0.001
 3.60  -2.800 -51.675 -52.278  -3.056 -52.822  -3.181 -52.977 -53.056 -53.123 -53.424   0.000   0.000   0.052   0.000   0.000   0.000   1.000   0.998   0.999   1.000   1.000   0.948   1.000   1.000   1.000   0.000   0.002   0.001
 3.66  -2.560 -51.501 -52.103  -2.882 -52.648  -3.006 -52.802 -52.882 -52.949 -53.249   0.001   0.000   0.346   0.000   0.001   0.000   1.000   0.999   1.000   0.999   1.000   0.654   1.000   0.999   1.000   0.000   0.001   0.000
 3.72  -2.320 -51.365 -51.967  -2.746 -52.511  -2.871 -52.666 -52.746 -52.812 -53.114   0.034   0.000   0.892   0.020   0.029   0.000   1.001   1.000   1.000   0.966   1.000   0.108   0.980   0.971   1.000   0.000   0.000   0.000
 3.78  -2.080 -51.192 -51.794  -2.572 -52.338  -2.697 -52.493 -52.572 -52.639 -52.940   0.523   0.000   0.992   0.448   0.484   0.000   1.064   1.002   1.012   0.477   1.000   0.008   0.552   0.516   1.000   0.000   0.000   0.000
 3.84  -1.840 -50.999 -51.601  -2.379 -52.145  -2.504 -52.300 -52.380 -52.446 -52.748   0.958   0.000   0.999   0.956   0.952   0.000   1.674   1.071   1.326   0.042   1.000   0.001   0.044   0.048   1.000   0.000   0.000   0.000
 3.90  -1.600 -50.764 -51.366  -2.144 -51.910  -2.269 -52.065 -52.144 -52.211 -52.512   0.997   0.000   1.000   0.998   0.997   0.051   1.977   1.679   1.929   0.003   1.000   0.000   0.002   0.003   0.957   0.000   0.000   0.000
 3.96  -1.360 -50.524 -51.126  -1.904 -51.670  -2.029 -51.825 -51.904 -51.971 -52.272   1.000   0.012   1.001   1.000   1.000   1.788   1.998   1.974   1.996   0.000   0.988   0.000   0.000   0.000   0.065   0.000   0.000   0.000
 4.02  -1.120 -50.291 -50.893  -1.671 -51.437  -1.796 -51.592 -51.671 -51.738 -52.039   1.000   0.363   1.056   1.001   1.000   2.558   2.000   1.998   2.000   0.000   0.637   0.000   0.000   0.000   0.000   0.000   0.000   0.000
