       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.6000        0.0200       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 2.10  -8.182  -8.247  -9.047 -11.564 -12.145 -11.245 -12.031 -12.473 -12.315 -12.580   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.16  -8.002  -8.067  -8.867 -11.384 -11.965 -11.065 -11.851 -12.293 -12.135 -12.400   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.22  -7.822  -7.887  -8.687 -11.204 -11.785 -10.885 -11.671 -12.113 -11.955 -12.220   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.28  -7.642  -7.707  -8.507 -11.024 -11.605 -10.705 -11.491 -11.933 -11.775 -12.040   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.34  -7.462  -7.527  -8.327 -10.844 -11.425 -10.525 -11.311 -11.753 -11.595 -11.860   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.40  -7.282  -7.347  -8.147 -10.664 -11.245 -10.345 -11.131 -11.573 -11.415 -11.680   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.46  -7.102  -7.167  -7.967 -10.484 -11.065 -10.165 -10.951 -11.393 -11.235 -11.500   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.52  -6.922  -6.987  -7.787 -10.304 -10.885  -9.985 -10.771 -11.213 -11.055 -11.320   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.58  -6.742  -6.807  -7.607 -10.124 -10.705  -9.805 -10.591 -11.033 -10.875 -11.140   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.64  -6.562  -6.627  -7.427  -9.944 -10.525  -9.625 -10.411 -10.853 -10.695 -10.960   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.70  -6.382  -6.447  -7.247  -9.764 -10.345  -9.445 -10.231 -10.673 -10.515 -10.780   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.76  -6.160  -6.225  -7.025  -9.542 -10.122  -9.223 -10.008 -10.450 -10.293 -10.558   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.82  -5.920  -5.985  -6.785  -9.302  -9.882  -8.983  -9.769 -10.210 -10.053 -10.318   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.88  -5.680  -5.745  -6.545  -9.062  -9.642  -8.743  -9.529  -9.970  -9.813 -10.078   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.94  -5.440  -5.505  -6.305  -8.822  -9.402  -8.503  -9.289  -9.730  -9.573  -9.838   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
