       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.4000        0.0400       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 2.10  -8.246  -8.378  -8.834 -11.218 -11.798 -10.899 -11.685 -12.127 -11.969 -12.234   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.16  -8.066  -8.198  -8.654 -11.038 -11.618 -10.719 -11.505 -11.947 -11.789 -12.054   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.22  -7.886  -8.018  -8.474 -10.858 -11.438 -10.539 -11.325 -11.767 -11.609 -11.874   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.28  -7.706  -7.838  -8.294 -10.678 -11.258 -10.359 -11.145 -11.587 -11.429 -11.694   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.34  -7.526  -7.658  -8.114 -10.498 -11.078 -10.179 -10.965 -11.407 -11.249 -11.514   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.40  -7.346  -7.478  -7.934 -10.318 -10.898  -9.999 -10.785 -11.227 -11.069 -11.334   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.46  -7.166  -7.298  -7.754 -10.138 -10.718  -9.819 -10.605 -11.047 -10.889 -11.154   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.52  -6.986  -7.118  -7.574  -9.958 -10.538  -9.639 -10.425 -10.867 -10.709 -10.974   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.58  -6.806  -6.938  -7.394  -9.778 -10.358  -9.459 -10.245 -10.687 -10.529 -10.794   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.64  -6.626  -6.758  -7.214  -9.598 -10.178  -9.279 -10.065 -10.507 -10.349 -10.614   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.70  -6.400  -6.532  -6.988  -9.373  -9.953  -9.053  -9.839 -10.281 -10.123 -10.388   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.76  -6.160  -6.292  -6.748  -9.133  -9.713  -8.813  -9.599 -10.041  -9.883 -10.148   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.82  -5.920  -6.052  -6.508  -8.893  -9.473  -8.573  -9.359  -9.801  -9.643  -9.908   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.88  -5.680  -5.812  -6.268  -8.653  -9.233  -8.333  -9.119  -9.561  -9.403  -9.668   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.94  -5.440  -5.572  -6.028  -8.413  -8.993  -8.093  -8.879  -9.321  -9.163  -9.428   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.00  -5.200  -5.332  -5.788  -8.173  -8.753  -7.853  -8.639  -9.081  -8.923  -9.188   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.06  -4.960  -5.092  -5.548  -7.933  -8.513  -7.613  -8.399  -8.841  -8.683  -8.948   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.12  -4.720  -4.852  -5.308  -7.693  -8.273  -7.373  -8.159  -8.601  -8.443  -8.708   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
