       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.0000        0.2000       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 2.10  -8.454 -57.780  -8.479 -10.320 -10.900 -10.000 -10.786 -11.228 -11.070 -11.335   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.16  -8.274 -57.600  -8.299 -10.140 -10.720  -9.820 -10.606 -11.048 -10.890 -11.155   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.22  -8.094 -57.420  -8.119  -9.960 -10.540  -9.640 -10.426 -10.868 -10.710 -10.975   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.28  -7.914 -57.240  -7.939  -9.780 -10.360  -9.460 -10.246 -10.688 -10.530 -10.795   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.34  -7.734 -57.060  -7.759  -9.600 -10.180  -9.280 -10.066 -10.508 -10.350 -10.615   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.40  -7.554 -56.880  -7.579  -9.420 -10.000  -9.100  -9.886 -10.328 -10.170 -10.435   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.46  -7.360 -56.686  -7.385  -9.225  -9.806  -8.906  -9.692 -10.134  -9.976 -10.241   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.52  -7.120 -56.446  -7.145  -8.985  -9.566  -8.666  -9.452  -9.894  -9.736 -10.001   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.58  -6.880 -56.206  -6.905  -8.745  -9.326  -8.426  -9.212  -9.654  -9.496  -9.761   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.64  -6.640 -55.966  -6.665  -8.505  -9.086  -8.186  -8.972  -9.414  -9.256  -9.521   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.70  -6.400 -55.726  -6.425  -8.265  -8.846  -7.946  -8.732  -9.174  -9.016  -9.281   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.76  -6.160 -55.486  -6.185  -8.025  -8.606  -7.706  -8.492  -8.934  -8.776  -9.041   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.82  -5.920 -55.246  -5.945  -7.785  -8.366  -7.466  -8.252  -8.694  -8.536  -8.801   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.88  -5.680 -55.006  -5.705  -7.545  -8.126  -7.226  -8.012  -8.454  -8.296  -8.561   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.94  -5.440 -54.766  -5.465  -7.305  -7.886  -6.986  -7.772  -8.214  -8.056  -8.321   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.00  -5.200 -54.526  -5.225  -7.065  -7.646  -6.746  -7.532  -7.974  -7.816  -8.081   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.06  -4.960 -54.286  -4.985  -6.825  -7.406  -6.506  -7.292  -7.734  -7.576  -7.841   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.12  -4.720 -54.046  -4.745  -6.585  -7.166  -6.266  -7.052  -7.494  -7.336  -7.601   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.18  -4.480 -53.806  -4.505  -6.345  -6.926  -6.026  -6.812  -7.254  -7.096  -7.361   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.24  -4.240 -53.566  -4.265  -6.105  -6.686  -5.786  -6.572  -7.014  -6.856  -7.121   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
